"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"Colorado"	"Alabama"	15738	12209	3958	5152	2273	1406	40	127	1626	6737	3529	15	15	49	38	146	114	8	185	25	16	13	11	22	57
"Texas"	"Utah"	15689	13393	5588	4168	3853	1134	68	286	829	7223	2296	12	11	46	17	109	47	6	125	25	12	5	2	14	75
"Arizona"	"Pennsylvania"	15683	13201	3517	4487	2473	430	37	201	1192	8868	2482	14	17	36	16	142	41	84	285	26	19	13	12	61	61
"Minnesota"	"Washington"	15635	12874	5414	3891	3854	830	39	302	1030	6819	2761	20	14	48	6	68	60	8	199	10	14	5	10	22	74
"California"	"Alaska"	15630	12928	2157	3191	1292	312	29	67	574	10654	2702	5	4	15	39	53	58	14	148	21	7	14	15	8	55
"Arkansas"	"Mississippi"	15605	12300	4479	5491	2531	862	26	41	1790	7050	3305	4	2	64	30	90	37	6	323	93	18	27	0	11	74
"Pennsylvania"	"Alabama"	15450	11638	4220	4519	2466	1360	15	170	1188	6439	3812	14	11	52	14	78	344	6	616	13	49	24	13	17	42
"Minnesota"	"Michigan"	15447	13611	3368	4256	2414	594	19	230	1429	8925	1836	7	6	37	8	59	29	4	106	10	19	7	9	19	36
"New Jersey"	"Illinois"	15425	12520	5163	3831	4252	1157	15	454	1019	5623	2905	22	52	119	15	166	142	16	169	35	17	25	2	16	67
"Nevada"	"Pennsylvania"	15420	14652	975	3632	622	683	8	37	977	12325	768	0	4	15	6	55	2	19	95	27	0	1	7	2	31
"Montana"	"Washington"	15395	12101	3768	2901	2639	573	57	70	845	7917	3294	32	54	49	38	75	154	18	256	25	37	22	14	33	53
"Arizona"	"Missouri"	15393	13519	3567	6120	2244	2984	106	260	759	7166	1874	19	4	31	11	76	27	7	168	25	6	8	9	17	53
"Delaware"	"California"	15382	14422	1485	6470	1059	908	6	57	1502	10890	960	0	21	26	0	44	33	8	68	37	5	6	1	3	15
"Illinois"	"Arkansas"	15365	13188	3380	5236	1812	441	61	100	1494	9280	2177	12	2	60	8	48	59	8	156	3	32	20	3	18	49
"Mississippi"	"Georgia"	15337	10888	5374	3566	3538	597	31	244	968	5510	4449	18	43	158	26	139	78	12	357	19	31	21	15	46	194
